match_id,round_number,t1_side,t2_side,atk_score,def_score,time_remaining_s,spike_planted,atk_loadout_value,def_loadout_value,atk_duelists_alive,atk_controllers_alive,atk_initiators_alive,atk_sentinels_alive,def_duelists_alive,def_controllers_alive,def_initiators_alive,def_sentinels_alive,round_winner
192637,2,ATK,DEF,0,1,91,0,3300,15100,1,2,0,2,2,1,0,1,DEF
192637,2,ATK,DEF,0,1,82,0,3300,15100,1,1,0,2,2,1,0,1,DEF
192637,2,ATK,DEF,0,1,78,0,3300,15100,1,1,0,1,2,1,0,1,DEF
192637,2,ATK,DEF,0,1,72,0,3300,15100,1,1,0,1,2,0,0,1,DEF
192637,2,ATK,DEF,0,1,71,0,3300,15100,1,0,0,1,2,0,0,1,DEF
192637,2,ATK,DEF,0,1,56,0,3300,15100,0,0,0,1,2,0,0,1,DEF
192637,2,ATK,DEF,0,1,56,0,3300,15100,0,0,0,1,1,0,0,1,DEF
192637,2,ATK,DEF,0,1,55,0,3300,15100,0,0,0,0,1,0,0,1,DEF
192637,3,ATK,DEF,0,2,100,0,21000,13550,1,2,0,2,2,2,0,1,ATK
192637,3,ATK,DEF,0,2,70,0,21000,13550,1,2,0,2,2,2,0,0,ATK
192637,3,ATK,DEF,0,2,48,0,21000,13550,1,2,0,1,2,2,0,0,ATK
192637,3,ATK,DEF,0,2,47,0,21000,13550,1,2,0,1,2,1,0,0,ATK
192637,3,ATK,DEF,0,2,46,0,21000,13550,1,2,0,1,1,1,0,0,ATK
192637,3,ATK,DEF,0,2,43,0,21000,13550,1,2,0,1,0,1,0,0,ATK
192637,3,ATK,DEF,0,2,45,1,21000,13550,1,2,0,1,0,1,0,0,ATK
192637,3,ATK,DEF,0,2,41,1,21000,13550,1,2,0,1,0,0,0,0,ATK
192637,4,ATK,DEF,1,2,100,0,22200,21550,1,2,0,2,2,2,0,1,ATK
192637,4,ATK,DEF,1,2,71,0,22200,21550,1,2,0,2,2,1,0,1,ATK
192637,4,ATK,DEF,1,2,56,0,22200,21550,1,2,0,2,1,1,0,1,ATK
192637,4,ATK,DEF,1,2,45,1,22200,21550,1,2,0,2,1,1,0,1,ATK
192637,4,ATK,DEF,1,2,36,1,22200,21550,1,2,0,2,1,0,0,1,ATK
192637,4,ATK,DEF,1,2,36,1,22200,21550,1,1,0,2,1,0,0,1,ATK
192637,4,ATK,DEF,1,2,34,1,22200,21550,1,1,0,2,1,0,0,0,ATK
192637,4,ATK,DEF,1,2,30,1,22200,21550,1,1,0,1,1,0,0,0,ATK
192637,4,ATK,DEF,1,2,23,1,22200,21550,1,1,0,1,0,0,0,0,ATK
192637,5,ATK,DEF,2,2,100,0,22750,6000,1,2,0,2,2,2,0,1,DEF
192637,5,ATK,DEF,2,2,61,0,22750,6000,1,1,0,2,2,2,0,1,DEF
192637,5,ATK,DEF,2,2,31,0,22750,6000,1,1,0,2,2,1,0,1,DEF
192637,5,ATK,DEF,2,2,22,0,22750,6000,1,0,0,2,2,1,0,1,DEF
192637,5,ATK,DEF,2,2,17,0,22750,6000,1,0,0,2,2,0,0,1,DEF
192637,5,ATK,DEF,2,2,16,0,22750,6000,1,0,0,1,2,0,0,1,DEF
192637,5,ATK,DEF,2,2,13,0,22750,6000,0,0,0,1,2,0,0,1,DEF
192637,5,ATK,DEF,2,2,6,0,22750,6000,0,0,0,1,2,0,0,0,DEF
192637,5,ATK,DEF,2,2,1,0,22750,6000,0,0,0,0,2,0,0,0,DEF
192637,6,ATK,DEF,2,3,100,0,22600,25600,1,2,0,2,2,2,0,1,ATK
192637,6,ATK,DEF,2,3,61,0,22600,25600,1,2,0,2,1,2,0,1,ATK
192637,6,ATK,DEF,2,3,49,0,22600,25600,0,2,0,2,1,2,0,1,ATK
192637,6,ATK,DEF,2,3,44,0,22600,25600,0,2,0,1,1,2,0,1,ATK
192637,6,ATK,DEF,2,3,41,0,22600,25600,0,2,0,1,1,1,0,1,ATK
192637,6,ATK,DEF,2,3,34,0,22600,25600,0,1,0,1,1,1,0,1,ATK
192637,6,ATK,DEF,2,3,45,1,22600,25600,0,1,0,1,1,1,0,1,ATK
192637,6,ATK,DEF,2,3,44,1,22600,25600,0,1,0,1,1,1,0,0,ATK
192637,6,ATK,DEF,2,3,24,1,22600,25600,0,1,0,0,1,1,0,0,ATK
192637,6,ATK,DEF,2,3,17,1,22600,25600,0,1,0,0,0,1,0,0,ATK
192637,6,ATK,DEF,2,3,10,1,22600,25600,0,1,0,0,0,0,0,0,ATK
192637,7,ATK,DEF,3,3,100,0,20700,6900,1,2,0,2,2,2,0,1,DEF
192637,7,ATK,DEF,3,3,63,0,20700,6900,1,1,0,2,2,2,0,1,DEF
192637,7,ATK,DEF,3,3,62,0,20700,6900,1,1,0,2,2,2,0,0,DEF
192637,7,ATK,DEF,3,3,58,0,20700,6900,1,1,0,2,2,1,0,0,DEF
192637,7,ATK,DEF,3,3,48,0,20700,6900,1,1,0,1,2,1,0,0,DEF
192637,7,ATK,DEF,3,3,47,0,20700,6900,0,1,0,1,2,1,0,0,DEF
192637,7,ATK,DEF,3,3,39,0,20700,6900,0,1,0,1,1,1,0,0,DEF
192637,7,ATK,DEF,3,3,37,0,20700,6900,0,1,0,0,1,1,0,0,DEF
192637,7,ATK,DEF,3,3,24,0,20700,6900,0,0,0,0,1,1,0,0,DEF
192637,8,ATK,DEF,3,4,100,0,8150,23600,1,2,0,2,2,2,0,1,ATK
192637,8,ATK,DEF,3,4,65,0,8150,23600,1,2,0,2,1,2,0,1,ATK
192637,8,ATK,DEF,3,4,59,0,8150,23600,1,2,0,2,1,1,0,1,ATK
192637,8,ATK,DEF,3,4,57,0,8150,23600,1,2,0,2,1,0,0,1,ATK
